thread_id,subject
8545,BackTrack 5 r3 Release ^^
8547,[Theme] New Theme -Anonymous Owner
8549,Hotel Booking Portal v0.1 Multiple Vulnerabilities
8561,Uniscan 5.2 released - vulnerability scanner
8613,Tor - Browser
8822,"Good Working Proxies. August 21 , 2012"
8871,WebSite Hacked By Brazilian Cyber Army
9027,Google Dorks [Find sites for SQLi]
9105,n00b istealer dork google find logs
9168,[Tutorial] SqlMap By BlackHat
9182,Web Site Hacked By B.C.A
9184,Web Site Hacked By B.C.A
9185,Other Site Owned By B.C.A =)
9282,"frech new email combo (filefactoey,rapidgator,.turbobit)"
9452,Speed L1 Elite Proxies
9456,5/09/12 / High Anonymous Proxy Servers checked
9468,OCX Registrator
9475,Some Work Done By Me
9499,C-Force Tutorial by Carpetboy
9503,SQLI DoS script for SQL injection vulnerability
9505,-=[Charon v0.6]=-
9575,Brazzers Vulnerable Xss By Brazilian Cyber Army
9588,Scrapebox Passed HTTP Proxies
9621,SqlMap For Windows GuI
9627,The BEST Way To Attack HOME CONNECTIONS! || Dos || nMaP
9628,Sqlpoision 1.0 advanced
9749,Facebook fisher tool vb Source code
9750,How admin bypass vul works
9769,"TeamHav0k found XSS vulnerability in DcShoes, SpikeTV, Adidas shoes, 2 UK & 1 Brazil"
9771,CyberGhostVPN 5147 Leeched Usernames
9790,JusBrazil Vulnerable XSS By Brazilian Cyber Army
9925,DL4Hacks Port Scanner
9942,Ubuntu Hacker (Pentest)
9943,Protect Your WebSite Against Sql Injection
9971,How to make phishing page of any website
9974,DataBase AvgExpress By Brazilian Cyber Army
9990,Lets Dance Pawned
10002,DataBase Leaked Defender Of The State Of Pará Brazil By Brazilian Cyber Army
10033,WHCMS Owned
10046,Cracking Fire Shield Activated.......
10053,DataBase Exposed By Brazilian Cyber Army
10056,Cracking Fire Sheild Activage Again and Again..
10133,Optima Botnet v.10 0DAY
10145,Fire Activated Again..
10212,[wordlist]  fresh unchecked combo (date=22 )
10275,Am I allow requesting?
10373,SQL Injection Wrapper For Metasploit
10374,Using Netstat To Find Viruses
10375,Priv8 Symlink(PHP) Exploit
10376,Blind Sql Injection Vulnerability LLC(2011)
10562,Domain intersecmag.co.uk Leaked By Brazilian Cyber Army
10563,South African Dilmah Tea Hacked..
10608,Web Vulnerability Scanner Source Code
10609,Hacker Theme
10610,[Source] Drop shadow [GDI]
10611,Folder lock source code
10632,Oct2- L1
10633,Oct2- Sock5
10688,wTools | Host To IP | Geo-IP | CloudFlare Resolver | AIO Skype Tools
10690,[VB.NET] 4Shared Downloader Without Premium Account [Source Code]
10691,[VB.NET] Base64 Viewer [SOURCE CODE]
10694,[Vb.net]Rapidshare downloader uses Premium account[Sourc
10699,[vb.net]Hotfile Downloader Use Premium account[vb.net][Source]
10702,LOIC (Low Orbit Ion Cannon) Source Code
10786,Simple Autoupdate script
10787,[Simple and easy] The application is allready running [SRC]
10859,Fresh Checked Anonymous Proxies (5 Oct)
10867,http://www.skae.in/ Hacked By Brazilian Cyber Army
10882,Havij Pro 13 Registred version
10899,[vb.net] Forum Login Using HttpWebRequest Another Way [Source Code]
10900,[vb.net]How to Use the Proxies in your downloader[Source Code]
10920,"2012 Linux Local Root for >=2.6.39, 32-bit and 64-bit | 2.6.39 linux root"
10921,Google Dorks To Find Unsecure Web Admin
10939,Big Dork List By 16Dz
10940,Proxyfire Master Suite v1.24
11004,Simple Chat Programm
